method,fit,segments,mae_h_deg,mae_v_deg,mae_h_sd_deg,mae_v_sd_deg,excluded_mae_h_deg,excluded_mae_v_deg,excluded_fraction
"Known start, detected saccades",same subject,short 1-2 s,0.8959773523123534,1.2553593719178848,0.2060385992245119,0.1322234932294571,0.7188456325727698,1.1681264804380826,0.021043771043771045
"Known start, level change since start",same subject,short 1-2 s,1.295281474943584,2.1980931371040158,0.3894576910066227,0.34820777334610575,1.2165446262532755,2.088799287384028,0.019079685746352413
"Known start, detected saccades",same subject,long 32 s,4.144773633892957,8.540394045155073,1.6880766920739632,2.325428800629106,3.714114957320133,8.229225926708953,0.04861111111111111
"Known start, detected saccades",unseen subject,short 1-2 s,0.9438572981773418,1.433487538491115,0.2510250271804169,0.21549350710868379,0.7966308154336471,1.3680100921171512,0.016835016835016835
"Known start, level change since start",unseen subject,short 1-2 s,1.3221291995568247,2.2648177578377076,0.4498477549999483,0.4632813720979243,1.2452124941104,2.1872031525710875,0.01739618406285073
"Known start, detected saccades",unseen subject,long 32 s,4.055838538080149,8.30316971438675,1.379579864580078,2.5141425827681805,3.782323040801973,8.210654105230198,0.020833333333333332
